PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,IsSystemUser,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
2,Kayla Woodcock,Kayla,Kayla Kayla Woodcock,True,kaylaw@fabrikam.com,False,True,True,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,kaylaw@fabrikam.com,"{ ""OtherLanguages"": [""Polish"",""Chinese"",""Japanese""] ,""HireDate"":""2008-04-19T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""0.98""}","[""Polish"",""Chinese"",""Japanese""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
3,Hudson Onslow,Hudson,Hudson Hudson Onslow,True,hudsono@fabrikam.com,False,True,True,"{""theme"":""dark-hive"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsono@fabrikam.com,"{ ""OtherLanguages"": [] ,""HireDate"":""2012-03-05T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""3.62""}",[],1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
4,Isabella Rupp,Isabella,Isabella Isabella Rupp,True,isabellar@fabrikam.com,False,True,False,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,isabellar@fabrikam.com,"{ ""OtherLanguages"": [""Turkish"",""Slovenian""] ,""HireDate"":""2010-08-24T00:00:00"",""Title"":""Team Member""}","[""Turkish"",""Slovenian""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
5,Eva Muirden,Eva,Eva Eva Muirden,False,evam@fabrikam.com,False,True,False,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,evam@fabrikam.com,"{ ""OtherLanguages"": [""Lithuanian""] ,""HireDate"":""2012-01-22T00:00:00"",""Title"":""Team Member""}","[""Lithuanian""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
6,Sophia Hinton,Sophia,Sophia Sophia Hinton,True,sophiah@fabrikam.com,False,True,True,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,sophiah@fabrikam.com,"{ ""OtherLanguages"": [""Swedish""] ,""HireDate"":""2007-05-14T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""4.55""}","[""Swedish""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
7,Amy Trefl,Amy,Amy Amy Trefl,True,amyt@fabrikam.com,False,True,True,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,amyt@fabrikam.com,"{ ""OtherLanguages"": [""Slovak"",""Spanish"",""Polish""] ,""HireDate"":""2009-02-15T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""0.58""}","[""Slovak"",""Spanish"",""Polish""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
8,Anthony Grosse,Anthony,Anthony Anthony Grosse,True,anthonyg@fabrikam.com,False,True,True,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,anthonyg@fabrikam.com,"{ ""OtherLanguages"": [""Croatian"",""Dutch"",""Bokm?l""] ,""HireDate"":""2010-07-23T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Mideast"",""CommissionRate"":""0.11""}","[""Croatian"",""Dutch"",""Bokm?l""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
9,Alica Fatnowna,Alica,Alica Alica Fatnowna,True,alicaf@fabrikam.com,False,True,False,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,alicaf@fabrikam.com,"{ ""OtherLanguages"": [] ,""HireDate"":""2007-12-07T00:00:00"",""Title"":""General Manager""}",[],1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
10,Stella Rosenhain,Stella,Stella Stella Rosenhain,True,stellar@fabrikam.com,False,True,False,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,stellar@fabrikam.com,"{ ""OtherLanguages"": [""Dutch"",""Finnish"",""Lithuanian""] ,""HireDate"":""2007-11-17T00:00:00"",""Title"":""Warehouse Supervisor""}","[""Dutch"",""Finnish"",""Lithuanian""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
11,Ethan Onslow,Ethan,Ethan Ethan Onslow,True,ethano@fabrikam.com,False,True,False,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,ethano@fabrikam.com,"{ ""OtherLanguages"": [] ,""HireDate"":""2011-12-17T00:00:00"",""Title"":""Warehouse Supervisor""}",[],1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
12,Henry Forlonge,Henry,Henry Henry Forlonge,True,henryf@fabrikam.com,False,True,False,"{""theme"":""le-frog"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,henryf@fabrikam.com,"{ ""OtherLanguages"": [""Greek"",""Slovak""] ,""HireDate"":""2009-03-18T00:00:00"",""Title"":""Team Member""}","[""Greek"",""Slovak""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
13,Hudson Hollinworth,Hudson,Hudson Hudson Hollinworth,True,hudsonh@fabrikam.com,False,True,True,"{""theme"":""black-tie"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsonh@fabrikam.com,"{ ""OtherLanguages"": [""Croatian""] ,""HireDate"":""2010-11-27T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""0.24""}","[""Croatian""]",1,31/05/2016 23:14,###############################################################################################################################################################################################################################################################
